2025-07-03 13:44:09,269 INFO 📍 Starting GeoNames lookup for city='california', country='germany'
2025-07-03 13:44:09,316 INFO 📄 Index 0 | Name: Sacramento | fcl: P, fcode: PPLA | ADM1: California, ADM2: Sacramento, ADM3: , ADM4:  | Score: 48.97, Population: 524943 | Fuzzy match: 30.000000000000004
2025-07-03 13:44:09,316 INFO 📄 Index 1 | Name: San Diego | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Diego, ADM3: , ADM4:  | Score: 44.52, Population: 1394928 | Fuzzy match: 31.57894736842105
2025-07-03 13:44:09,316 INFO 📄 Index 2 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 44.52, Population: 1026908 | Fuzzy match: 22.22222222222222
2025-07-03 13:44:09,316 INFO 📄 Index 3 | Name: Fresno | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Fresno, ADM3: , ADM4:  | Score: 44.52, Population: 520052 | Fuzzy match: 37.5
2025-07-03 13:44:09,365 INFO 📄 Index 0 | Name: Sacramento | fcl: P, fcode: PPLA | ADM1: California, ADM2: Sacramento, ADM3: , ADM4:  | Score: 48.97, Population: 524943 | Fuzzy match: 30.000000000000004
2025-07-03 13:44:09,366 INFO 📄 Index 1 | Name: San Diego | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Diego, ADM3: , ADM4:  | Score: 44.52, Population: 1394928 | Fuzzy match: 31.57894736842105
2025-07-03 13:44:09,366 INFO 📄 Index 2 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 44.52, Population: 1026908 | Fuzzy match: 22.22222222222222
2025-07-03 13:44:09,366 INFO 📄 Index 3 | Name: Fresno | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Fresno, ADM3: , ADM4:  | Score: 44.52, Population: 520052 | Fuzzy match: 37.5
2025-07-03 13:44:09,415 INFO 📄 Index 0 | Name: Sacramento | fcl: P, fcode: PPLA | ADM1: California, ADM2: Sacramento, ADM3: , ADM4:  | Score: 48.97, Population: 524943 | Fuzzy match: 30.000000000000004
2025-07-03 13:44:09,415 INFO 📄 Index 1 | Name: San Diego | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Diego, ADM3: , ADM4:  | Score: 44.52, Population: 1394928 | Fuzzy match: 31.57894736842105
2025-07-03 13:44:09,415 INFO 📄 Index 2 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 44.52, Population: 1026908 | Fuzzy match: 22.22222222222222
2025-07-03 13:44:09,415 INFO 📄 Index 3 | Name: Fresno | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Fresno, ADM3: , ADM4:  | Score: 44.52, Population: 520052 | Fuzzy match: 37.5
