2025-07-03 16:40:42,211 INFO 📍 Starting GeoNames lookup for city='fairfax', country='thailand'
2025-07-03 16:40:42,571 INFO 📄 Index 0 | Name: Reston | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 58404 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:42,571 INFO 📄 Index 1 | Name: Springfield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 30484 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:42,571 INFO 📄 Index 2 | Name: Merrifield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 38.28, Population: 15212 | Fuzzy match: 23.529411764705888
2025-07-03 16:40:42,571 INFO 📄 Index 3 | Name: Herndon | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 38.28, Population: 24568 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:43,083 INFO 📄 Index 0 | Name: Reston | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 58404 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:43,084 INFO 📄 Index 1 | Name: Springfield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 30484 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:43,084 INFO 📄 Index 2 | Name: Merrifield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 38.28, Population: 15212 | Fuzzy match: 23.529411764705888
2025-07-03 16:40:43,084 INFO 📄 Index 3 | Name: Herndon | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 38.28, Population: 24568 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:43,595 INFO 📄 Index 0 | Name: Reston | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 58404 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:43,595 INFO 📄 Index 1 | Name: Springfield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 44.37, Population: 30484 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:43,595 INFO 📄 Index 2 | Name: Merrifield | fcl: P, fcode: PPL | ADM1: Virginia, ADM2: Fairfax, ADM3: , ADM4:  | Score: 38.28, Population: 15212 | Fuzzy match: 23.529411764705888
