2025-07-03 13:50:46,368 INFO 📍 Starting GeoNames lookup for city='georgia', country='usa'
2025-07-03 13:50:46,443 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,443 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,443 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,443 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,490 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,490 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,490 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,490 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,537 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,537 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,537 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,537 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,584 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,584 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,585 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,585 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,633 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,633 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,633 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,634 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,682 INFO 📄 Index 0 | Name: Atlanta | fcl: P, fcode: PPLA | ADM1: Georgia, ADM2: Fulton, ADM3: , ADM4:  | Score: 66.04, Population: 510823 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:46,682 INFO 📄 Index 1 | Name: Athens | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Clarke, ADM3: , ADM4:  | Score: 57.68, Population: 127315 | Fuzzy match: 15.384615384615385
2025-07-03 13:50:46,682 INFO 📄 Index 2 | Name: Savannah | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Chatham, ADM3: , ADM4:  | Score: 57.36, Population: 147780 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,683 INFO 📄 Index 3 | Name: Columbus | fcl: P, fcode: PPLA2 | ADM1: Georgia, ADM2: Muscogee, ADM3: , ADM4:  | Score: 57.36, Population: 206922 | Fuzzy match: 13.33333333333333
2025-07-03 13:50:46,683 WARNING ❌ No match found with fuzzy score > 80 for city: georgia
2025-07-03 13:50:46,683 WARNING ❌ Lookup failed for city='georgia', iso2='US'
