2025-07-03 13:49:03,256 INFO 📍 Starting GeoNames lookup for city='indiana', country='france'
2025-07-03 13:49:03,336 INFO 📄 Index 0 | Name: Indianapolis | fcl: P, fcode: PPLA | ADM1: Indiana, ADM2: Marion, ADM3: Center Township, ADM4:  | Score: 57.26, Population: 887642 | Fuzzy match: 73.6842105263158
2025-07-03 13:49:03,337 INFO 📄 Index 1 | Name: Evansville | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Vanderburgh, ADM3: Pigeon Township, ADM4:  | Score: 43.21, Population: 119943 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,337 INFO 📄 Index 2 | Name: South Bend | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Saint Joseph, ADM3: Portage Township, ADM4:  | Score: 43.21, Population: 101516 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,337 INFO 📄 Index 3 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.21, Population: 260326 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,405 INFO 📄 Index 0 | Name: Indianapolis | fcl: P, fcode: PPLA | ADM1: Indiana, ADM2: Marion, ADM3: Center Township, ADM4:  | Score: 57.26, Population: 887642 | Fuzzy match: 73.6842105263158
2025-07-03 13:49:03,405 INFO 📄 Index 1 | Name: Evansville | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Vanderburgh, ADM3: Pigeon Township, ADM4:  | Score: 43.21, Population: 119943 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,405 INFO 📄 Index 2 | Name: South Bend | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Saint Joseph, ADM3: Portage Township, ADM4:  | Score: 43.21, Population: 101516 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,405 INFO 📄 Index 3 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.21, Population: 260326 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,455 INFO 📄 Index 0 | Name: Indianapolis | fcl: P, fcode: PPLA | ADM1: Indiana, ADM2: Marion, ADM3: Center Township, ADM4:  | Score: 57.26, Population: 887642 | Fuzzy match: 73.6842105263158
2025-07-03 13:49:03,455 INFO 📄 Index 1 | Name: Evansville | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Vanderburgh, ADM3: Pigeon Township, ADM4:  | Score: 43.21, Population: 119943 | Fuzzy match: 23.529411764705888
2025-07-03 13:49:03,455 INFO 📄 Index 2 | Name: South Bend | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Saint Joseph, ADM3: Portage Township, ADM4:  | Score: 43.21, Population: 101516 | Fuzzy match: 23.529411764705888
