2025-07-03 13:50:47,664 INFO 📍 Starting GeoNames lookup for city='ridgeville', country='usa'
2025-07-03 13:50:47,729 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,729 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,729 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,729 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,773 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,774 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,774 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,774 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,819 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,819 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,819 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,819 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,864 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,864 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,864 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,864 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,907 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,908 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,908 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,908 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,951 INFO 📄 Index 0 | Name: North Ridgeville | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Lorain, ADM3: City of North Ridgeville, ADM4:  | Score: 29.97, Population: 32483 | Fuzzy match: 76.92307692307692
2025-07-03 13:50:47,951 INFO 📄 Index 1 | Name: Ridgeville Corners | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 26.94, Population: 435 | Fuzzy match: 71.42857142857143
2025-07-03 13:50:47,951 INFO 📄 Index 2 | Name: Evanston | fcl: P, fcode: PPL | ADM1: Illinois, ADM2: Cook, ADM3: Evanston Township, ADM4:  | Score: 25.56, Population: 75527 | Fuzzy match: 22.22222222222222
2025-07-03 13:50:47,951 INFO 📄 Index 3 | Name: Ridgeville Township | fcl: A, fcode: ADM3 | ADM1: Ohio, ADM2: Henry, ADM3: Ridgeville Township, ADM4:  | Score: 16.22, Population: 0 | Fuzzy match: 68.96551724137932
2025-07-03 13:50:47,951 WARNING ❌ No match found with fuzzy score > 80 for city: ridgeville
2025-07-03 13:50:47,952 WARNING ❌ Lookup failed for city='ridgeville', iso2='US'
