2025-07-03 16:42:56,452 INFO 📍 Starting GeoNames lookup for city='san_francisco', country='australia'
2025-07-03 16:42:56,524 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,524 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,524 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,569 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,570 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,570 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,614 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,614 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,614 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,663 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,663 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,663 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,710 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,711 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,711 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,755 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 28.49, Population: 864816 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,755 INFO 📄 Index 1 | Name: San Francisco County | fcl: A, fcode: ADM2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 14.48, Population: 873965 | Fuzzy match: 60.60606060606061
2025-07-03 16:42:56,755 INFO 📄 Index 2 | Name: San Francisco | fcl: A, fcode: LTER | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 8.73, Population: 0 | Fuzzy match: 69.23076923076923
2025-07-03 16:42:56,755 WARNING ❌ No match found with fuzzy score > 80 for city: san_francisco
2025-07-03 16:42:56,756 WARNING ❌ Lookup failed for city='san_francisco', iso2='US'
