2025-07-03 13:50:48,158 INFO 📍 Starting GeoNames lookup for city='spring_hill', country='usa'
2025-07-03 13:50:48,237 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,237 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,237 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,281 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,281 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,281 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,323 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,323 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,323 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,367 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,368 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,368 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,409 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,410 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,410 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,453 INFO 📄 Index 0 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Kansas, ADM2: Johnson, ADM3: City of Spring Hill, ADM4:  | Score: 10.23, Population: 5981 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,453 INFO 📄 Index 1 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Alabama, ADM2: Escambia, ADM3: , ADM4:  | Score: 4.55, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,453 INFO 📄 Index 2 | Name: Spring Hill | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Santa Rosa, ADM3: , ADM4:  | Score: 4.07, Population: 160 | Fuzzy match: 54.54545454545454
2025-07-03 13:50:48,453 WARNING ❌ No match found with fuzzy score > 80 for city: spring_hill
2025-07-03 13:50:48,453 WARNING ❌ Lookup failed for city='spring_hill', iso2='US'
