2025-07-03 13:49:06,256 INFO 📍 Starting GeoNames lookup for city='usa', country='france'
2025-07-03 13:49:06,403 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:06,403 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:06,403 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:06,404 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:06,525 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:06,526 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:06,526 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:06,526 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:06,634 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:06,634 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:06,634 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:06,634 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:06,745 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:06,745 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:06,745 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:06,745 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:06,898 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:06,899 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:06,899 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:06,899 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:07,010 INFO 📄 Index 0 | Name: United States | fcl: A, fcode: PCLI | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 93.81, Population: 327167434 | Fuzzy match: 25.0
2025-07-03 13:49:07,010 INFO 📄 Index 1 | Name: New York | fcl: P, fcode: PPL | ADM1: New York, ADM2: , ADM3: , ADM4:  | Score: 67.74, Population: 8804190 | Fuzzy match: 0.0
2025-07-03 13:49:07,010 INFO 📄 Index 2 | Name: San Antonio | fcl: P, fcode: PPLA2 | ADM1: Texas, ADM2: Bexar, ADM3: , ADM4:  | Score: 55.06, Population: 1434625 | Fuzzy match: 28.57142857142857
2025-07-03 13:49:07,010 INFO 📄 Index 3 | Name: Brooklyn | fcl: P, fcode: PPLA2 | ADM1: New York, ADM2: Kings, ADM3: , ADM4:  | Score: 54.65, Population: 2736074 | Fuzzy match: 0.0
2025-07-03 13:49:07,010 WARNING ❌ No match found with fuzzy score > 80 for city: usa
2025-07-03 13:49:07,011 WARNING ❌ Lookup failed for city='usa', iso2='US'
