2025-07-03 13:50:48,863 INFO 📍 Starting GeoNames lookup for city='wayne', country='usa'
2025-07-03 13:50:48,935 INFO 📄 Index 0 | Name: Detroit | fcl: P, fcode: PPLA2 | ADM1: Michigan, ADM2: Wayne, ADM3: City of Detroit, ADM4:  | Score: 51.13, Population: 677116 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:48,935 INFO 📄 Index 1 | Name: Dearborn | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Dearborn, ADM4:  | Score: 47.04, Population: 95171 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:48,935 INFO 📄 Index 2 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.05, Population: 260326 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:48,935 INFO 📄 Index 3 | Name: Livonia | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Livonia, ADM4:  | Score: 42.95, Population: 94635 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:48,985 INFO 📄 Index 0 | Name: Detroit | fcl: P, fcode: PPLA2 | ADM1: Michigan, ADM2: Wayne, ADM3: City of Detroit, ADM4:  | Score: 51.13, Population: 677116 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:48,985 INFO 📄 Index 1 | Name: Dearborn | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Dearborn, ADM4:  | Score: 47.04, Population: 95171 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:48,985 INFO 📄 Index 2 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.05, Population: 260326 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:48,985 INFO 📄 Index 3 | Name: Livonia | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Livonia, ADM4:  | Score: 42.95, Population: 94635 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:49,032 INFO 📄 Index 0 | Name: Detroit | fcl: P, fcode: PPLA2 | ADM1: Michigan, ADM2: Wayne, ADM3: City of Detroit, ADM4:  | Score: 51.13, Population: 677116 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:49,032 INFO 📄 Index 1 | Name: Dearborn | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Dearborn, ADM4:  | Score: 47.04, Population: 95171 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:49,032 INFO 📄 Index 2 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.05, Population: 260326 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:49,032 INFO 📄 Index 3 | Name: Livonia | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Livonia, ADM4:  | Score: 42.95, Population: 94635 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:49,119 INFO 📄 Index 0 | Name: Detroit | fcl: P, fcode: PPLA2 | ADM1: Michigan, ADM2: Wayne, ADM3: City of Detroit, ADM4:  | Score: 51.13, Population: 677116 | Fuzzy match: 16.666666666666664
2025-07-03 13:50:49,119 INFO 📄 Index 1 | Name: Dearborn | fcl: P, fcode: PPL | ADM1: Michigan, ADM2: Wayne, ADM3: City of Dearborn, ADM4:  | Score: 47.04, Population: 95171 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:49,119 INFO 📄 Index 2 | Name: Fort Wayne | fcl: P, fcode: PPLA2 | ADM1: Indiana, ADM2: Allen, ADM3: Washington Township, ADM4:  | Score: 43.05, Population: 260326 | Fuzzy match: 66.66666666666667
