2025-07-03 16:39:33,013 INFO 📍 Starting GeoNames lookup for city='west_point', country='poland'
2025-07-03 16:39:33,213 INFO 📄 Index 0 | Name: West Point | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Columbiana, ADM3: Madison Township, ADM4:  | Score: 9.05, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,213 INFO 📄 Index 1 | Name: Town of West Point | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Columbia, ADM3: Town of West Point, ADM4:  | Score: 8.69, Population: 1950 | Fuzzy match: 35.71428571428571
2025-07-03 16:39:33,213 INFO 📄 Index 2 | Name: City of West Point | fcl: A, fcode: ADM3 | ADM1: Georgia, ADM2: Troup, ADM3: City of West Point, ADM4:  | Score: 8.69, Population: 3719 | Fuzzy match: 42.85714285714286
2025-07-03 16:39:33,213 INFO 📄 Index 3 | Name: West Point | fcl: P, fcode: PPL | ADM1: Texas, ADM2: Fayette, ADM3: , ADM4:  | Score: 8.12, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,257 INFO 📄 Index 0 | Name: West Point | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Columbiana, ADM3: Madison Township, ADM4:  | Score: 9.05, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,257 INFO 📄 Index 1 | Name: Town of West Point | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Columbia, ADM3: Town of West Point, ADM4:  | Score: 8.69, Population: 1950 | Fuzzy match: 35.71428571428571
2025-07-03 16:39:33,257 INFO 📄 Index 2 | Name: City of West Point | fcl: A, fcode: ADM3 | ADM1: Georgia, ADM2: Troup, ADM3: City of West Point, ADM4:  | Score: 8.69, Population: 3719 | Fuzzy match: 42.85714285714286
2025-07-03 16:39:33,257 INFO 📄 Index 3 | Name: West Point | fcl: P, fcode: PPL | ADM1: Texas, ADM2: Fayette, ADM3: , ADM4:  | Score: 8.12, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,300 INFO 📄 Index 0 | Name: West Point | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Columbiana, ADM3: Madison Township, ADM4:  | Score: 9.05, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,300 INFO 📄 Index 1 | Name: Town of West Point | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Columbia, ADM3: Town of West Point, ADM4:  | Score: 8.69, Population: 1950 | Fuzzy match: 35.71428571428571
2025-07-03 16:39:33,300 INFO 📄 Index 2 | Name: City of West Point | fcl: A, fcode: ADM3 | ADM1: Georgia, ADM2: Troup, ADM3: City of West Point, ADM4:  | Score: 8.69, Population: 3719 | Fuzzy match: 42.85714285714286
2025-07-03 16:39:33,300 INFO 📄 Index 3 | Name: West Point | fcl: P, fcode: PPL | ADM1: Texas, ADM2: Fayette, ADM3: , ADM4:  | Score: 8.12, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,343 INFO 📄 Index 0 | Name: West Point | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Columbiana, ADM3: Madison Township, ADM4:  | Score: 9.05, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,343 INFO 📄 Index 1 | Name: Town of West Point | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Columbia, ADM3: Town of West Point, ADM4:  | Score: 8.69, Population: 1950 | Fuzzy match: 35.71428571428571
2025-07-03 16:39:33,344 INFO 📄 Index 2 | Name: City of West Point | fcl: A, fcode: ADM3 | ADM1: Georgia, ADM2: Troup, ADM3: City of West Point, ADM4:  | Score: 8.69, Population: 3719 | Fuzzy match: 42.85714285714286
2025-07-03 16:39:33,344 INFO 📄 Index 3 | Name: West Point | fcl: P, fcode: PPL | ADM1: Texas, ADM2: Fayette, ADM3: , ADM4:  | Score: 8.12, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:33,388 INFO 📄 Index 0 | Name: West Point | fcl: P, fcode: PPL | ADM1: Ohio, ADM2: Columbiana, ADM3: Madison Township, ADM4:  | Score: 9.05, Population: 0 | Fuzzy match: 50.0
