2025-07-03 16:40:15,284 INFO 📍 Starting GeoNames lookup for city='jizzax', country='usa'
2025-07-03 16:40:15,429 INFO 📄 Index 0 | Name: Jizzakh | fcl: P, fcode: PPLA | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 100.93, Population: 179200 | Fuzzy match: 76.92307692307692
2025-07-03 16:40:15,429 INFO 📄 Index 1 | Name: Jizzakh Region | fcl: A, fcode: ADM1 | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 69.64, Population: 1443408 | Fuzzy match: 50.0
2025-07-03 16:40:15,429 INFO 📄 Index 2 | Name: Jizzax Shahri | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Jizzax Shahri, ADM3: , ADM4:  | Score: 57.36, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 16:40:15,429 INFO 📄 Index 3 | Name: Sharof Rashidov District | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Sharof Rashidov District, ADM3: , ADM4:  | Score: 54.80, Population: 223100 | Fuzzy match: 13.33333333333333
2025-07-03 16:40:15,477 INFO 📄 Index 0 | Name: Jizzakh | fcl: P, fcode: PPLA | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 100.93, Population: 179200 | Fuzzy match: 76.92307692307692
2025-07-03 16:40:15,477 INFO 📄 Index 1 | Name: Jizzakh Region | fcl: A, fcode: ADM1 | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 69.64, Population: 1443408 | Fuzzy match: 50.0
2025-07-03 16:40:15,477 INFO 📄 Index 2 | Name: Jizzax Shahri | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Jizzax Shahri, ADM3: , ADM4:  | Score: 57.36, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 16:40:15,477 INFO 📄 Index 3 | Name: Sharof Rashidov District | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Sharof Rashidov District, ADM3: , ADM4:  | Score: 54.80, Population: 223100 | Fuzzy match: 13.33333333333333
2025-07-03 16:40:15,526 INFO 📄 Index 0 | Name: Jizzakh | fcl: P, fcode: PPLA | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 100.93, Population: 179200 | Fuzzy match: 76.92307692307692
2025-07-03 16:40:15,526 INFO 📄 Index 1 | Name: Jizzakh Region | fcl: A, fcode: ADM1 | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 69.64, Population: 1443408 | Fuzzy match: 50.0
2025-07-03 16:40:15,526 INFO 📄 Index 2 | Name: Jizzax Shahri | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Jizzax Shahri, ADM3: , ADM4:  | Score: 57.36, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 16:40:15,526 INFO 📄 Index 3 | Name: Sharof Rashidov District | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Sharof Rashidov District, ADM3: , ADM4:  | Score: 54.80, Population: 223100 | Fuzzy match: 13.33333333333333
2025-07-03 16:40:15,579 INFO 📄 Index 0 | Name: Jizzakh | fcl: P, fcode: PPLA | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 100.93, Population: 179200 | Fuzzy match: 76.92307692307692
2025-07-03 16:40:15,579 INFO 📄 Index 1 | Name: Jizzakh Region | fcl: A, fcode: ADM1 | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 69.64, Population: 1443408 | Fuzzy match: 50.0
2025-07-03 16:40:15,579 INFO 📄 Index 2 | Name: Jizzax Shahri | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Jizzax Shahri, ADM3: , ADM4:  | Score: 57.36, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 16:40:15,579 INFO 📄 Index 3 | Name: Sharof Rashidov District | fcl: A, fcode: ADM2 | ADM1: Jizzakh Region, ADM2: Sharof Rashidov District, ADM3: , ADM4:  | Score: 54.80, Population: 223100 | Fuzzy match: 13.33333333333333
2025-07-03 16:40:15,627 INFO 📄 Index 0 | Name: Jizzakh | fcl: P, fcode: PPLA | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 100.93, Population: 179200 | Fuzzy match: 76.92307692307692
2025-07-03 16:40:15,628 INFO 📄 Index 1 | Name: Jizzakh Region | fcl: A, fcode: ADM1 | ADM1: Jizzakh Region, ADM2: , ADM3: , ADM4:  | Score: 69.64, Population: 1443408 | Fuzzy match: 50.0
