,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment
ITA-02264-07373_06_03_00,ITA,Sicily,3D Micromac,solar,cell,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02264-07373_06_04_00,ITA,Sicily,3D Micromac,solar,modules,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02264-07373_06_04_01,ITA,Sicily,3D Micromac,solar,modules,first expansion,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06068-07374_06_99_00,ITA,Venice,9-tech,solar,NA,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06762-07375_06_00_00,ITA,Lamalunga,9REN,solar,deployment,initial,-,1 MW,actual,03-2010,03-2010,NA,NA,-,False,False,False,False
ITA-06763-07375_06_00_00,ITA,Spinazzola,9REN,solar,deployment,initial,-,1 MW,actual,03-2010,03-2010,NA,NA,-,False,False,False,False
ITA-03952-07376_06_00_00,ITA,Taranto,9REN Group,solar,deployment,initial,€21.5 million,6.5 MW,operational,02-2011,-,02-2011,NA,-,False,False,False,False
ITA-06764-07377_06_00_00,ITA,Assemini,A2A,solar,deployment,initial,205 million EUR,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-06764-07377_06_00_01,ITA,Assemini,A2A,solar,deployment,first expansion,-,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-06765-07377_06_00_00,ITA,Brescia,A2A,solar,deployment,initial,-,-,announced,12-2019,NA,NA,NA,-,False,False,False,False
ITA-06766-07377_06_00_00,ITA,Cassano D'Adda,A2A,solar,deployment,initial,-,-,actual,10-2017,10-2017,NA,NA,-,False,False,False,False
ITA-06766-07377_06_00_01,ITA,Cassano D'Adda,A2A,solar,deployment,first expansion,-,-,actual,10-2017,10-2017,NA,NA,-,False,False,False,False
ITA-06766-07377_06_00_02,ITA,Cassano D'Adda,A2A,solar,deployment,second expansion,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-01545-07377_06_00_00,ITA,Emilia-Romagna,A2A,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-03951-07377_06_00_00,ITA,Foggia,A2A,solar,deployment,initial,-,10 MW,announced,12-2019,NA,NA,NA,-,False,False,False,False
ITA-03732-07377_06_00_00,ITA,Lazio,A2A,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03732-07377_06_00_01,ITA,Lazio,A2A,solar,deployment,first expansion,205 million EUR,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-05228-07377_06_00_00,ITA,Marche,A2A,solar,deployment,initial,-,17.8 MW,actual,10-2017,10-2017,NA,NA,-,False,False,False,False
ITA-05228-07377_06_00_01,ITA,Marche,A2A,solar,deployment,first expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-02660-07377_06_00_00,ITA,Montalto di Castro,A2A,solar,deployment,initial,205 million EUR,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-02660-07377_06_00_01,ITA,Montalto di Castro,A2A,solar,deployment,first expansion,-,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-06767-07377_06_00_00,ITA,Piemonte,A2A,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06767-07377_06_00_01,ITA,Piemonte,A2A,solar,deployment,first expansion,-,-,operational,-,-,-,NA,-,False,False,False,False
ITA-03684-07377_06_00_00,ITA,Puglia,A2A,solar,deployment,initial,-,-,actual,10-2017,-,NA,NA,-,False,False,False,False
ITA-03684-07377_06_00_01,ITA,Puglia,A2A,solar,deployment,first expansion,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03684-07377_06_00_02,ITA,Puglia,A2A,solar,deployment,second expansion,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06768-07377_01_00_00,ITA,San Filippo del Mela,A2A,battery,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-01490-07377_06_00_00,ITA,Sardinia,A2A,solar,deployment,initial,205 million EUR,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-01490-07377_06_00_01,ITA,Sardinia,A2A,solar,deployment,first expansion,-,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-06769-07377_06_00_00,ITA,Toscana,A2A,solar,deployment,initial,-,-,actual,10-2017,09-2017,NA,NA,-,False,False,False,False
ITA-06770-07377_06_00_00,ITA,Trentino Alto Adige,A2A,solar,deployment,initial,-,-,actual,10-2017,-,NA,NA,-,False,False,False,False
ITA-06770-07377_06_00_01,ITA,Trentino Alto Adige,A2A,solar,deployment,first expansion,-,-,actual,10-2017,-,NA,NA,-,False,False,False,False
ITA-06771-00006_03_00_00,ITA,Camugnano,ABB,hydroelectric,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06772-00006_06_00_00,ITA,Cardonita,ABB,solar,deployment,initial,50 million USD,3.8 MW,announced,07-2010,NA,NA,NA,-,False,False,False,False
ITA-03732-00006_06_00_00,ITA,Lazio,ABB,solar,deployment,initial,-,24.2 MW,actual,03-2011,02-2011,NA,NA,-,False,False,False,False
ITA-06773-00006_06_00_00,ITA,Spinasanta,ABB,solar,deployment,initial,50 million USD,6 MW,actual,06-2010,-,NA,NA,-,False,False,False,False
ITA-06774-00006_06_00_00,ITA,Sugherotorto,ABB,solar,deployment,initial,50 million USD,3.3 MW,actual,06-2010,-,NA,NA,-,False,False,False,False
ITA-01352-01424_01_03_00,ITA,Termoli,ACC,battery,cell_manufacturing,initial,€2 billion,-,delayed,03-2022,10-2022,NA,-,-,True,False,False,False
ITA-01352-01424_01_03_01,ITA,Termoli,ACC,battery,cell_manufacturing,first expansion,-,-,cancelled,03-2022,NA,NA,-,-,True,True,False,False
ITA-01352-01424_07_01_00,ITA,Termoli,ACC,vehicle,EV_component_manufacturing,initial,€2 billion,-,actual,03-2022,03-2022,NA,NA,-,False,False,False,False
ITA-01352-01424_07_01_01,ITA,Termoli,ACC,vehicle,EV_component_manufacturing,first expansion,-,-,cancelled,03-2022,NA,NA,-,-,False,False,False,False
ITA-01352-01424_07_02_00,ITA,Termoli,ACC,vehicle,battery_vehicle_assembly,initial,€2 billion,-,cancelled,03-2022,NA,NA,-,-,False,False,False,False
ITA-01352-01424_07_02_01,ITA,Termoli,ACC,vehicle,battery_vehicle_assembly,first expansion,-,-,cancelled,03-2022,NA,NA,-,-,False,False,False,False
ITA-06775-07378_06_00_00,ITA,Cellino San Marco,AES Solar Energy,solar,deployment,initial,€173 million,43 MW,actual,04-2010,04-2010,NA,NA,-,False,False,False,False
ITA-06775-07379_06_00_00,ITA,Cellino San Marco,AES Solar Energy Ltd,solar,deployment,initial,€173 million,43 MW,operational,-,-,-,NA,-,False,False,False,False
ITA-06090-04417_08_00_00,ITA,Adriatic Sea,AGNES,wind,deployment,initial,-,-,announced,2021,NA,NA,NA,-,False,False,False,False
ITA-06090-04417_06_99_00,ITA,Adriatic Sea,AGNES,solar,NA,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06090-04417_04_01_00,ITA,Adriatic Sea,AGNES,hydrogen,green_hydrogen,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06136-04417_06_99_00,ITA,Lido di Classe,AGNES,solar,NA,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06136-04417_04_01_00,ITA,Lido di Classe,AGNES,hydrogen,green_hydrogen,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06776-04417_04_01_00,ITA,Porto Corsini,AGNES,hydrogen,green_hydrogen,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02493-04417_08_00_00,ITA,Ravenna,AGNES,wind,deployment,initial,-,-,announced,10-2021,NA,NA,NA,-,False,False,False,False
ITA-02493-04417_06_00_00,ITA,Ravenna,AGNES,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02493-04417_04_00_00,ITA,Ravenna,AGNES,hydrogen,deployment,initial,-,-,announced,10-2021,NA,NA,NA,-,False,False,False,False
ITA-06769-07380_02_00_00,ITA,Toscana,APRE,geothermal,deployment,initial,-,-,actual,-,11-2024,NA,NA,-,False,False,False,False
ITA-03952-07328_06_00_00,ITA,Taranto,Acciaierie d'Italia,solar,deployment,initial,-,-,announced,01-2023,NA,NA,NA,-,False,False,False,False
ITA-03952-07329_08_07_00,ITA,Taranto,Acciaierie d’Italia,wind,other,initial,-,-,announced,01-2023,NA,NA,NA,-,False,False,False,False
ITA-06777-07381_06_00_00,ITA,Campobasso,Acea,solar,deployment,initial,-,7.8 MW,announced,06-2022,NA,NA,NA,-,False,False,False,False
ITA-02344-07381_06_00_00,ITA,Rome,Acea,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02344-07382_06_00_00,ITA,Rome,Acea SpA,solar,deployment,initial,€200 million,-,announced,03-2019,NA,NA,NA,-,False,False,False,False
ITA-06128-04455_07_02_00,ITA,Mosciano Sant'Angelo,Aehra,vehicle,battery_vehicle_assembly,initial,1.2 billion EUR,"25,000 units per model per year",announced,06-2024,NA,NA,NA,540,True,False,True,False
ITA-03923-04465_04_01_00,ITA,Mantua,Agire,hydrogen,green_hydrogen,initial,-,"1,500 tons",announced,12-2023,NA,NA,NA,-,False,False,False,False
ITA-03923-04465_04_04_00,ITA,Mantua,Agire,hydrogen,electrolysers,initial,-,"1,500 tons",announced,12-2023,NA,NA,NA,-,False,False,False,False
ITA-03923-04465_06_00_00,ITA,Mantua,Agire,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02264-04472_08_00_00,ITA,Sicily,Aker Solutions,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03950-06724_04_01_00,ITA,Brindisi,Alboran,hydrogen,green_hydrogen,initial,-,-,announced,03-2021,NA,NA,NA,-,False,False,False,False
ITA-03951-06724_04_01_00,ITA,Foggia,Alboran,hydrogen,green_hydrogen,initial,-,-,actual,03-2021,03-2021,NA,NA,-,False,False,False,False
ITA-03952-06724_04_01_00,ITA,Taranto,Alboran,hydrogen,green_hydrogen,initial,-,-,announced,03-2021,NA,NA,NA,-,False,False,False,False
ITA-06778-00912_07_02_00,ITA,Giambattista Vico Stellantis plant,Alfa Romeo,vehicle,battery_vehicle_assembly,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ITA-01339-00912_07_02_00,ITA,Naples,Alfa Romeo,vehicle,battery_vehicle_assembly,initial,-,-,operational,09-2022,NA,09-2022,NA,-,True,False,False,False
ITA-03030-07383_06_00_00,ITA,Apulia,Alleanza per il fotovoltaico in Italia,solar,deployment,initial,-,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-03950-07383_06_00_00,ITA,Brindisi,Alleanza per il fotovoltaico in Italia,solar,deployment,initial,-,-,cancelled,02-2021,NA,NA,-,-,False,False,False,False
ITA-06779-07383_06_00_00,ITA,Tuscia,Alleanza per il fotovoltaico in Italia,solar,deployment,initial,-,-,announced,02-2021,NA,NA,NA,-,False,False,False,False
ITA-05877-00030_04_03_00,ITA,Valcamonica,Alstom,hydrogen,fuel_cell,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03732-07384_02_01_00,ITA,Lazio,Altamin,geothermal,exploration_and_drilling,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03732-07384_02_06_00,ITA,Lazio,Altamin,geothermal,other,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03732-07384_01_01_00,ITA,Lazio,Altamin,battery,materials_refining,initial,-,-,intended,-,NA,NA,NA,-,True,False,False,False
ITA-03732-07385_06_00_00,ITA,Lazio,Amplio,solar,deployment,initial,€16 million,7 MW,operational,01-2012,01-2012,01-2012,NA,-,False,False,False,False
ITA-06780-07386_05_06_00,ITA,Rotondella,Ansaldo Nucleare,nuclear,spent_fuel_processing,initial,-,-,actual,12-2022,-,NA,NA,-,False,False,False,False
ITA-06780-07386_05_05_00,ITA,Rotondella,Ansaldo Nucleare,nuclear,nuclear_power_plant_construction,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-00713-00052_04_04_00,ITA,Milan,Asahi Kasei,hydrogen,electrolysers,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-00713-00052_04_01_00,ITA,Milan,Asahi Kasei,hydrogen,green_hydrogen,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-05227-07330_06_00_00,ITA,Lombardy,Astrea Energia,solar,deployment,initial,-,-,announced,08-2024,NA,NA,NA,-,False,False,False,False
ITA-06781-07387_06_00_00,ITA,South Tyrol,Athesia Energy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-01145-00065_07_02_00,ITA,Turin,Automobili Pininfarina,vehicle,battery_vehicle_assembly,initial,-,-,actual,12-2018,12-2018,NA,NA,-,True,False,False,False
ITA-01490-07331_08_00_00,ITA,Sardinia,AvenHexicon,wind,deployment,initial,-,-,announced,10-2022,NA,NA,NA,-,False,False,False,False
ITA-02264-07331_08_00_00,ITA,Sicily,AvenHexicon,wind,deployment,initial,-,-,announced,10-2022,NA,NA,NA,-,False,False,False,False
