filename,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment,note
LTU-03212-07563_06_04_00,LTU,Vilnius,Applied Research Institute for Prospective Technologies (ProTech),solar,modules,initial,,,announced,,NA,NA,NA,,True,False,False,False,
SWE-01026-00582_01_03_01,SWE,Skelleftea,Northvolt,battery,cell_manufacturing,first expansion,,,actual,,,NA,NA,,True,True,False,False,
ESP-01932-01118_01_03_00,ESP,Almaraz,Iberdrola,battery,deployment,initial,,,operational,,NA,01-2022,NA,,True,False,False,False,
DEU-00620-00024_07_02_00,DEU,Langen,Akasol,vehicle,battery_vehicle_assembly,initial,,,actual,,05-2017,NA,NA,,True,True,False,False,
BEL-06487-08471_01_00_00,BEL,Seraing,CMI Group,battery,deployment,initial,,,actual,,,NA,NA,,True,False,False,False,
ITA-06900-07509_01_00_00,ITA,Northern and Central Italy,Terna,battery,deployment,initial,,,actual,,12-2020,NA,NA,,True,True,False,,
SWE-01026-00582_07_02_00,SWE,Skelleftea,Northvolt,vehicle,battery_vehicle_assembly,initial,,,actual,,,NA,NA,,True,True,False,False,
ITA-00172-00848_01_01_00,ITA,Cesano,Vulcan Energy,battery,materials_refining,initial,-,-,announced,01-2022,NA,NA,NA,-,True,False,False,False,
BEL-06308-01626_01_00_00,BEL,Vilvoorde,Engie,battery,deployment,initial,,,actual,,07-2024,01-2026,NA,,True,False,False,False,
DEU-00456-00158_01_03_00,DEU,Heilbronn,Customcells,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00418-00158_01_03_00,DEU,Gärtringen,Customcells,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00057-00134_01_03_00,DEU,Baden-Württemberg,Centre for Solar Energy and Hydrogen Research Baden-Württemberg,battery,cell_manufacturing,initial,,,actual,,03-2020,NA,NA,,True,True,False,False,
DEU-00213-00274_07_01_00,DEU,Cologne,Ford,vehicle,EV_component_manufacturing,initial,,,actual,,,NA,NA,3300,True,True,False,False,
GBR-00225-00239_01_03_01,GBR,Coventry,Eve Energy,battery,cell_manufacturing,first expansion,,,announced,,NA,NA,NA,,True,False,False,False,
DEU-00213-00274_01_04_00,DEU,Cologne,Ford,battery,module_assembly,initial,,,operational,,02-2021,06-2023,NA,,True,False,False,False,
BEL-00366-00846_07_02_01,BEL,Ghent,Volvo Group,vehicle,battery_vehicle_assembly,first expansion,,,operational,,,10-2021,NA,,True,False,False,False,
GBR-00809-00114_01_03_00,GBR,Northumberland,Britishvolt,battery,cell_manufacturing,initial,,,actual,,,NA,NA,3000,True,True,False,False,
NOR-00032-00540_01_03_01,NOR,Arendal,Morrow Batteries,battery,cell_manufacturing,first expansion,,,announced,,,12-2028,NA,,True,False,False,False,
HUN-00384-00702_01_03_00,HUN,Goed,Samsung,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
AUT-01350-00927_01_03_00,AUT,Vienna,Austrian Institute of Technology,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
FRA-00274-01424_01_03_00,FRA,Douvrin,ACC,battery,cell_manufacturing,initial,,,operational,,,05-2023,NA,,True,False,False,False,
