filename,capacity,checked,company,component,country,dt_actual,dt_announce,dt_cancel,dt_operational,finetune,investment_value,jobs,location,phase,reject-phase,share-investment,status,tech
LTU-03212-07563_06_04_00,,True,Applied Research Institute for Prospective Technologies (ProTech),modules,LTU,,,,,False,,,Vilnius,initial,False,False,announced,solar
SWE-01026-00582_01_03_01,,True,Northvolt,cell_manufacturing,SWE,,['06-2023'],,,False,,,Skelleftea,first expansion,True,False,actual,battery
ESP-01932-01118_01_03_00,,True,Iberdrola,deployment,ESP,,,,01-2022,False,,,Almaraz,initial,False,False,operational,battery
GBR-01376-00114_01_03_00,['30 GWh'],True,Britishvolt,cell_manufacturing,GBR,,07-2020,,['NA'],False,,,['Bro Tathan'],['initial'],False,False,cancelled,battery
DEU-00798-00740_01_03_00,['1 GWh'],True,StreetScooter,cell_manufacturing,DEU,,04-2019,,['NA'],False,,,['North Rhine-Westphalia'],['initial'],True,False,announced,battery
DEU-00620-00024_07_02_00,,True,Akasol,battery_vehicle_assembly,DEU,05-2017,05-2017,,,False,10 million EUR,,Langen,initial,True,False,actual,vehicle
BEL-06487-08471_01_00_00,,True,CMI Group,deployment,BEL,,10-2018,,,False,,,Seraing,initial,False,False,actual,battery
ITA-06900-07509_01_00_00,['118.2 MW'],True,Terna,deployment,ITA,12-2020,['12-2020'],,,False,,,Northern and Central Italy,initial,True,,actual,battery
FRA-00812-00596_01_03_00,,True,Opel,cell_manufacturing,FRA,,12-2018,,['NA'],False,,,['Nouvelle-Aquitaine'],['initial'],True,False,announced,battery
SWE-01026-00582_07_02_00,,True,Northvolt,battery_vehicle_assembly,SWE,,['06-2021'],,,False,,,Skelleftea,initial,True,False,actual,vehicle
ITA-00172-00848_01_01_00,,True,Vulcan Energy,materials_refining,ITA,,01-2022,,,False,,,Cesano,initial,False,False,announced,battery
GBR-00225-00391_01_03_00,,True,InoBat Auto,cell_manufacturing,GBR,,02-2021,,['NA'],False,,,['Coventry'],['initial'],True,False,announced,battery
BEL-06308-01626_01_00_00,200 MW,True,Engie,deployment,BEL,07-2024,04-2023,,01-2026,False,,,Vilvoorde,initial,False,False,actual,battery
DEU-00055-00876_01_03_00,['pilot'],True,ZSW,cell_manufacturing,DEU,,,,['03-2016'],False,,,['Baden-Wuerttemberg'],['initial'],False,False,operational,battery
DEU-00456-00158_01_03_00,100 MWh,True,Customcells,cell_manufacturing,DEU,,09-2021,,,False,,,Heilbronn,initial,True,False,announced,battery
DEU-00418-00158_01_03_00,100 MWh,True,Customcells,cell_manufacturing,DEU,,09-2021,,,False,,,Gärtringen,initial,True,False,announced,battery
GBR-00225-01375_01_03_00,,True,Warwick Manufacturing Group,cell_manufacturing,GBR,,11-2017,,['NA'],False,['80 million GBP'],,['Coventry'],['initial'],True,False,announced,battery
DEU-00057-00134_01_03_00,,True,Centre for Solar Energy and Hydrogen Research Baden-Württemberg,cell_manufacturing,DEU,03-2020,03-2020,,,False,12.7 million EUR,,Baden-Württemberg,initial,True,False,actual,battery
DEU-00213-00274_07_01_00,,True,Ford,EV_component_manufacturing,DEU,,04-2019,,,False,2 billion USD,3300,Cologne,initial,True,False,actual,vehicle
GBR-01076-02129_01_03_01,,True,AESC Envision,cell_manufacturing,GBR,,07-2021,,,False,,1000,['Sunderland'],['first expansion'],True,False,actual,battery
GBR-00225-00239_01_03_01,,True,Eve Energy,cell_manufacturing,GBR,,03-2024,,,False,£1.2 billion,,Coventry,first expansion,False,False,announced,battery
DEU-00213-00274_01_04_00,,True,Ford,module_assembly,DEU,02-2021,04-2019,,06-2023,False,,3300,Cologne,initial,False,False,operational,battery
BEL-00366-00846_07_02_01,,True,Volvo Group,battery_vehicle_assembly,BEL,03-2020,01-2021,,10-2021,False,75 million EUR,200,Ghent,first expansion,False,False,operational,vehicle
DEU-00892-00769_01_03_00,,True,Tesla Grohmann Automation,purchase,DEU,,,,['NA'],False,,,['Prüm'],['initial'],False,False,announced,battery
ITA-00724-02453_01_03_01,,True,Stellantis Group,cell_manufacturing,ITA,,,,['NA'],False,,,['Mirafiori'],['first expansion'],True,False,announced,battery
GBR-00809-00114_01_03_00,,True,Britishvolt,cell_manufacturing,GBR,,['03-2022'],,,False,,3000,Northumberland,initial,True,False,actual,battery
NOR-00032-00540_01_03_01,1 GWh,True,Morrow Batteries,cell_manufacturing,NOR,,05-2022,,12-2028,False,100 million EUR,,Arendal,first expansion,False,False,announced,battery
HUN-00384-00702_01_03_00,,True,Samsung,cell_manufacturing,HUN,,,,,False,['500 billion won'],,Goed,initial,True,False,announced,battery
AUT-01350-00927_01_03_00,,True,Austrian Institute of Technology,cell_manufacturing,AUT,,12-2022,,,False,4.85 million EUR,,Vienna,initial,True,False,announced,battery
ITA-06735-07340_01_03_00,['600–800 batteries per day'],True,Energy SpA,cell_manufacturing,ITA,,05-2023,,['NA'],False,,,['Veneto'],['initial'],True,False,announced,battery
FRA-00274-01424_01_03_00,13 GWh,True,ACC,cell_manufacturing,FRA,09-2020,07-2020,,05-2023,False,1.6 billion EUR,,Douvrin,initial,False,False,operational,battery
AUT-03716-08804_01_99_00,,True,Enerox,,AUT,,,,,False,,,Austrian,initial,True,False,announced,battery
GBR-00225-00114_07_01_00,,True,Britishvolt,EV_component_manufacturing,GBR,,,,['NA'],False,,,['Coventry'],['initial'],True,False,announced,vehicle
FRA-00812-00602_01_03_00,,True,PSA Group,cell_manufacturing,FRA,12-2019,09-2019,,['NA'],False,,,['Nouvelle-Aquitaine'],['initial'],True,False,actual,battery
PRT-02780-02557_08_00_00,,True,Endesa,deployment,PRT,,05-2022,,,False,€600 million,,Lisbon,initial,True,False,announced,wind
PRT-00716-00705_01_01_00,,True,Savannah Resources,lithium,PRT,,,,,False,five to six billion euros,,Mina do Barroso,initial,False,False,announced,mine
BEL-01729-01512_01_00_00,24 MW/54 MWh,True,Centrica,deployment,BEL,07-2023,07-2023,,03-2024,False,,,Oostende,initial,False,False,actual,battery
ESP-01281-00120_01_03_00,,True,CATL,cell_manufacturing,ESP,,['12-2024'],,,False,['€4.1 billion'],3000,Zaragoza,initial,True,,announced,battery
DEU-08054-00073_01_03_00,['100 MWh/year'],True,BASF,contractual,DEU,,07-2021,,['NA'],False,,,['Tubingen'],['initial'],False,False,announced,battery
HUN-00419-00702_01_02_00,['30 GWh'],True,Samsung,battery_materials,HUN,,,,['NA'],False,,,['Göd'],['initial'],True,False,actual,battery
DEU-00546-00076_01_03_00,,True,BMW,cell_manufacturing,DEU,,05-2019,,,False,,,Kaiserslautern,initial,True,False,announced,battery
ITA-02755-02908_01_00_00,,True,FuturaSun,deployment,ITA,06-2021,,,06-2021,False,,,Cuneo,initial,False,False,operational,battery
ITA-01352-01424_01_03_00,,True,ACC,cell_manufacturing,ITA,10-2022,03-2022,,,False,€2 billion,,Termoli,initial,False,False,delayed,battery
DEU-00558-07319_01_03_00,,True,Exyte Technology GmbH,cell_manufacturing,DEU,,,,,False,,,Karlsruhe,initial,True,False,operational,battery
BEL-00138-08861_02_00_00,,True,European Heat Pump Association,deployment,BEL,,,,,False,['€3 million'],,Brussels,initial,True,,announced,geothermal
BEL-02119-01420_01_00_00,75 MWh,True,TotalEnergies,deployment,BEL,,03-2024,,12-2025,False,€70 million,,Feluy,initial,False,False,announced,battery
FRA-00274-00611_01_03_00,,True,Peugeot,cell_manufacturing,FRA,,,,['NA'],False,,,['Douvrin'],['initial'],True,False,actual,battery
AUT-01482-00434_07_01_00,,True,Kreisel Electric,EV_component_manufacturing,AUT,,,,,False,,,Rainbach,initial,True,False,announced,vehicle
ESP-02199-02557_01_00_00,1.1 MW/5.5 MWh,True,Endesa,deployment,ESP,,,,,False,,,Mallorca,initial,False,False,operational,battery
SWE-01026-00582_07_04_01,,True,Northvolt,EV_recycling,SWE,,,,,False,,,Skelleftea,first expansion,True,False,actual,vehicle
GBR-01076-10502_01_03_00,['1.9 GWh'],True,AESC,cell_manufacturing,GBR,,,,['06-2012'],False,,,['Sunderland'],['initial'],False,False,operational,battery
ESP-00947-00832_01_03_01,,True,Volkswagen,cell_manufacturing,ESP,03-2023,02-2022,,,False,10 billion EUR,,Sagunt,first expansion,True,False,actual,battery
BEL-00138-03023_06_04_00,,True,Hydrogenics,deployment,BEL,,10-2019,,,True,,6000,Brussels,initial,False,False,intended,solar
AUT-08218-08453_01_00_00,300 MWh,True,Burgerland Energie,deployment,AUT,07-2023,07-2023,,,False,,,Schattendorf,initial,False,False,actual,battery
LVA-00922-00042_01_04_00,,True,Anodox Energy Systems,module_assembly,LVA,05-2022,03-2022,,12-2022,False,50 million EUR,300,Riga,initial,False,False,actual,battery
BEL-01829-01626_01_00_00,['200 MW'],True,Engie,deployment,BEL,,['04-2023'],,,False,,,Vilvorde,initial,True,False,announced,battery
ITA-01548-01296_01_03_00,,True,Sovema Spa,cell_manufacturing,ITA,,12-2022,,,False,€4.85 million,,Verona,initial,False,False,operational,battery
SWE-01026-00582_01_05_00,,True,Northvolt,recycling,SWE,,,,,False,,,Skelleftea,initial,True,False,actual,battery
BEL-01622-02993_06_00_00,,True,Heliatek,deployment,BEL,,10-2017,,,False,,,Antwerp,initial,True,False,announced,solar
GBR-01076-00228_01_03_02,,True,Envision AESC,cell_manufacturing,GBR,12-2022,12-2022,,['NA'],False,['£450 million'],,['Sunderland'],['second expansion'],True,False,actual,battery
PRT-06958-01587_06_00_00,5 MW,True,EDP,deployment,PRT,,,,05-2022,False,,,Alqueva hydropower dam,initial,False,False,operational,solar
FRA-00770-01424_01_03_00,,True,ACC,cell_manufacturing,FRA,,,,01-2020,False,,,Nersac,initial,False,False,operational,battery
DEU-01111-00120_01_03_01,,True,CATL,cell_manufacturing,DEU,07-2019,['07-2019'],,12-2022,False,['1.8 billion EUR'],1500,Thuringia,first expansion,True,False,operational,battery
BEL-00138-06326_07_01_00,,True,Vrije Universiteit Brussel,EV_component_manufacturing,BEL,,,,,False,,,Brussels,initial,True,False,announced,vehicle
ESP-01099-00073_01_00_00,,True,BASF,recycling,ESP,,07-2023,,,False,,,Tarragona,initial,False,False,delayed,battery
BEL-00138-00799_01_02_00,,True,Umicore,battery_materials,BEL,,09-2022,,,False,3 billion EUR,,Brussels,initial,True,False,actual,battery
