projectID,country,location_master,company_master,articleID
GBR-07876-08197,GBR,Aldershot,10:10,['1705678']
GBR-07877-08197,GBR,Sussex,10:10,['1705678']
DEU-00119-03766,DEU,Brandenburg,1Komma5°,"['1605324', '1805859']"
DEU-00431-03766,DEU,Hamburg,1Komma5°,['1805859']
DEU-00976-03766,DEU,Saxony,1Komma5°,"['1605324', '1805859']"
GBR-07878-08198,GBR,Peterhead Port Authority,23 Degrees Renewables Ltd,['1907888']
DEU-01242-00890,DEU,Wolfsburg,24M Technologies,['1101311']
IRL-07879-08199,IRL,Rosslare,24shore SBS,['1902318']
FRA-02497-02584,FRA,Arlanc,2CA,['1604003']
GBR-02256-08200,GBR,U.K.,2DegreesKelvin,"['2504993', '1700915', '1607587']"
DEU-03812-04393,DEU,Heek,2G Energy AG,['2403195']
GBR-02197-08201,GBR,Aberdeen,2H,['1301270']
DEU-00431-02585,DEU,Hamburg,2nd Life Solar,['1604275']
ITA-02264-07373,ITA,Sicily,3D Micromac,['1800415']
FIN-04652-08202,FIN,Loviisa,3Flash,['1820937']
CHE-02499-08203,CHE,Thun,3S Modultec,['1808708']
CHE-02499-08204,CHE,Thun,3S Photovoltaics,['1808708']
CHE-02499-02588,CHE,Thun,3S Solar Plus AG,['1601073']
CHE-07880-02589,CHE,Lyss,3S Swiss Solar Systems,['1800327']
CHE-02499-02589,CHE,Thun,3S Swiss Solar Systems,['1808708']
CHE-01298-02589,CHE,Zurich,3S Swiss Solar Systems,['1600114']
DEU-07881-08205,DEU,Adelebsen,3U Holding,['1800158']
DEU-00431-08206,DEU,Hamburg,3megawatt,['1705756']
BGR-07882-08207,BGR,Devnya,4B Solar,['1701650']
DEU-01512-04394,DEU,Rostock,50Hertz,['2104698']
DEU-07883-04394,DEU,Rostock-Warnemünde,50Hertz,['1908101']
DEU-03813-04394,DEU,Witznitz Energy Park,50Hertz,"['2504301', '2203613']"
DEU-02502-02592,DEU,Frankfurt (Oder),5N PV,['1600024']
DEU-01369-08208,DEU,Bayreuth,7C Solarparken,['1706892']
DEU-07884-08208,DEU,Burgwindheim,7C Solarparken,['1706892']
DEU-07885-08208,DEU,Dennheritz,7C Solarparken,['1706892']
DEU-07886-08208,DEU,Morbach,7C Solarparken,['1706892']
NLD-07887-08209,NLD,Hollandse Kust Zuid offshore wind farm,8.2 Consulting AG,['1300004']
CHE-00985-00004,CHE,Schlieren,8inks,['1102790']
ITA-06068-07374,ITA,Venice,9-tech,"['1607343', '1607359']"
ITA-06762-07375,ITA,Lamalunga,9REN,['1815254']
ITA-06763-07375,ITA,Spinazzola,9REN,['1815254']
